Probability of fire spreading, Average percent burned, Iterations
0.000000 , 0.000000, 2
0.010000 , 0.000124, 2
0.020000 , 0.000238, 2
0.030000 , 0.000411, 2
0.040000 , 0.000569, 2
0.050000 , 0.000504, 2
0.060000 , 0.000768, 2
0.070000 , 0.000778, 2
0.080000 , 0.001102, 2
0.090000 , 0.001207, 2
0.100000 , 0.001364, 2
0.110000 , 0.001790, 3
0.120000 , 0.001956, 3
0.130000 , 0.001838, 3
0.140000 , 0.002786, 3
0.150000 , 0.002578, 3
0.160000 , 0.003137, 3
0.170000 , 0.003285, 3
0.180000 , 0.003568, 3
0.190000 , 0.004006, 3
0.200000 , 0.004939, 3
0.210000 , 0.004772, 3
0.220000 , 0.005516, 4
0.230000 , 0.006577, 4
0.240000 , 0.007190, 4
0.250000 , 0.007979, 4
0.260000 , 0.009912, 4
0.270000 , 0.009422, 4
0.280000 , 0.011408, 5
0.290000 , 0.012799, 5
0.300000 , 0.014765, 5
0.310000 , 0.015100, 5
0.320000 , 0.018988, 6
0.330000 , 0.021779, 6
0.340000 , 0.023117, 6
0.350000 , 0.025477, 7
0.360000 , 0.035180, 8
0.370000 , 0.036807, 8
0.380000 , 0.049947, 10
0.390000 , 0.050518, 9
0.400000 , 0.063851, 11
0.410000 , 0.074013, 12
0.420000 , 0.092829, 13
0.430000 , 0.123532, 16
0.440000 , 0.137982, 16
0.450000 , 0.166936, 18
0.460000 , 0.191338, 19
0.470000 , 0.224011, 21
0.480000 , 0.280161, 23
0.490000 , 0.316986, 24
0.500000 , 0.366231, 26
0.510000 , 0.447137, 29
0.520000 , 0.460990, 28
0.530000 , 0.539998, 31
0.540000 , 0.591178, 32
0.550000 , 0.646969, 32
0.560000 , 0.681518, 31
0.570000 , 0.723113, 31
0.580000 , 0.774338, 31
0.590000 , 0.805623, 30
0.600000 , 0.814851, 30
0.610000 , 0.874220, 30
0.620000 , 0.883990, 29
0.630000 , 0.915014, 29
0.640000 , 0.904193, 27
0.650000 , 0.932665, 27
0.660000 , 0.942544, 26
0.670000 , 0.943708, 25
0.680000 , 0.962215, 25
0.690000 , 0.948455, 24
0.700000 , 0.967415, 24
0.710000 , 0.975611, 24
0.720000 , 0.979197, 24
0.730000 , 0.966508, 23
0.740000 , 0.969876, 23
0.750000 , 0.980946, 23
0.760000 , 0.982460, 23
0.770000 , 0.991842, 23
0.780000 , 0.988412, 23
0.790000 , 0.991713, 23
0.800000 , 0.992202, 23
0.810000 , 0.992922, 22
0.820000 , 0.996640, 22
0.830000 , 0.997258, 22
0.840000 , 0.997853, 22
0.850000 , 0.998546, 22
0.860000 , 0.998572, 22
0.870000 , 0.998774, 22
0.880000 , 0.999282, 22
0.890000 , 0.999383, 22
0.900000 , 0.999556, 22
0.910000 , 0.999655, 22
0.920000 , 0.999866, 22
0.930000 , 0.999880, 22
0.940000 , 0.999943, 22
0.950000 , 0.999971, 22
0.960000 , 0.999979, 22
0.970000 , 1.000000, 22
0.980000 , 1.000000, 22
0.990000 , 1.000000, 22
1.000000 , 1.000000, 22
Process finished in time 0.194463 secs.
